id,file,dir,still_before_in,just_in,hole_in,center_in,center_out,just_out,hole_out,still_after_out
00006,00006.MTS,00006.MTS-dir,00031.png,00032.png,00056.png,00099.png,00099.png,00144.png,00163.png,00163.png
00009,00009.MTS,00009.MTS-dir,00036.png,00037.png,00050.png,00099.png,00099.png,00142.png,00153.png,00153.png
00012,00012.MTS,00012.MTS-dir,00132.png,00133.png,00155.png,00202.png,00202.png,00248.png,00260.png,00260.png
00016,00016.MTS,00016.MTS-dir,00033.png,00034.png,00045.png,00078.png,00078.png,00112.png,00122.png,00122.png
00017,00017.MTS,00017.MTS-dir,00142.png,00143.png,00154.png,00167.png,00167.png,00182.png,00192.png,00192.png
00021,00021.MTS,00021.MTS-dir,00068.png,00069.png,00081.png,00099.png,00099.png,00119.png,00128.png,00128.png
00022,00022.MTS,00022.MTS-dir,00073.png,00074.png,00087.png,00119.png,00119.png,00150.png,00160.png,00160.png
00023,00023.MTS,00023.MTS-dir,00035.png,00036.png,00053.png,00088.png,00088.png,00125.png,00141.png,00141.png
00024,00024.MTS,00024.MTS-dir,00028.png,00029.png,00044.png,00089.png,00089.png,00126.png,00137.png,00137.png
00025,00025.MTS,00025.MTS-dir,00023.png,00024.png,00042.png,00075.png,00075.png,00107.png,00122.png,00122.png
00027,00027.MTS,00027.MTS-dir,00096.png,00097.png,00118.png,00150.png,00150.png,00191.png,00208.png,00208.png
00028,00028.MTS,00028.MTS-dir,00025.png,00026.png,00039.png,00072.png,00072.png,00103.png,00115.png,00115.png
00028,00028.MTS,00028.MTS-dir,00025.png,00104.png,00118.png,00144.png,00144.png,00168.png,00181.png,00181.png
00029,00029.MTS,00029.MTS-dir,00034.png,00035.png,00048.png,00078.png,00078.png,00109.png,00119.png,00119.png
00031,00031.MTS,00031.MTS-dir,00092.png,00001.png,00015.png,00051.png,00051.png,00080.png,00091.png,00091.png
00032,00032.MTS,00032.MTS-dir,00092.png,00001.png,00007.png,00045.png,00045.png,00079.png,00091.png,00091.png
00032,00032.MTS,00032.MTS-dir,00097.png,00098.png,00114.png,00146.png,00146.png,00177.png,00189.png,00189.png
00035,00035.MTS,00035.MTS-dir,00116.png,00001.png,00007.png,00054.png,00054.png,00101.png,00114.png,00114.png
00036,00036.MTS,00036.MTS-dir,00074.png,00075.png,00086.png,00117.png,00117.png,00146.png,00155.png,00155.png
00038,00038.MTS,00038.MTS-dir,00004.png,00005.png,00017.png,00036.png,00036.png,00056.png,00067.png,00067.png
00038,00038.MTS,00038.MTS-dir,00255.png,00256.png,00266.png,00281.png,00281.png,00297.png,00305.png,00305.png
00046,00046.MTS,00046.MTS-dir,00034.png,00035.png,00046.png,00071.png,00071.png,00098.png,00108.png,00108.png
00047,00047.MTS,00047.MTS-dir,00100.png,00101.png,00161.png,00191.png,00191.png,00227.png,00251.png,00251.png
00049,00049.MTS,00049.MTS-dir,00038.png,00039.png,00057.png,00073.png,00073.png,00090.png,00107.png,00107.png
00053,00053.MTS,00053.MTS-dir,00036.png,00037.png,00059.png,00100.png,00100.png,00135.png,00154.png,00154.png
00054,00054.MTS,00054.MTS-dir,00082.png,00083.png,00096.png,00143.png,00143.png,00191.png,00202.png,00202.png
00056,00056.MTS,00056.MTS-dir,00102.png,00103.png,00118.png,00143.png,00143.png,00166.png,00176.png,00176.png
00057,00057.MTS,00057.MTS-dir,00107.png,00108.png,00118.png,00134.png,00134.png,00153.png,00163.png,00163.png
00057,00057.MTS,00057.MTS-dir,00203.png,00204.png,00213.png,00227.png,00227.png,00242.png,00252.png,00252.png
00060,00060.MTS,00060.MTS-dir,00012.png,00013.png,00026.png,00045.png,00045.png,00063.png,00073.png,00073.png
00062,00062.MTS,00062.MTS-dir,00058.png,00059.png,00080.png,00125.png,00125.png,00161.png,00169.png,00169.png
